Date,Amount,Description
2024-01-05,1240.50,Office supplies - Staples
2024-01-12,3400.00,Client lunch - The Capital Grille
2024-02-01,2100.75,Software subscription - Adobe Creative Cloud
2024-02-14,560.00,Fuel reimbursement - Shell Gas
2024-03-03,8750.00,Equipment purchase - Dell laptops
2024-03-20,1230.00,Marketing materials - PrintShop
2024-04-02,4000.00,Consulting fee - McKinsey
2024-04-18,950.25,Internet bill - Comcast Business
2024-05-06,6000.00,Server hosting - AWS monthly
2024-05-25,310.50,Office snacks - Costco
2024-06-10,2200.00,Travel expenses - Delta Airlines
2024-06-28,1575.00,Legal fees - Smith & Associates
2024-07-08,890.00,Maintenance - HVAC repair
